category,impact,description,priority
waste_management,medium,Complaint regarding Stray dog related complaints at K.R.Market,0.45
electricity,medium,Street Light Not Working reported in BTM Layout,0.66
electricity,high,Complaint regarding Street Light Not Working at Shiva Nagar,0.72
electricity,high,Complaint regarding Street Light Not Working at Hemmigepura,0.71
waste_management,medium,Garbage dump problem in Subedarapalya ward,0.55
electricity,medium,Street Light Not Working problem in Someshwara ward,0.68
electricity,high,Street Light Not Working problem in Someshwara ward,0.73
electricity,medium,Issue with Street Lights Switched On During Day Time in Hosahalli,0.59
electricity,high,Complaint regarding Street Light Not Working at Chikpete,0.74
electricity,medium,Street Light Not Working issue in Byrasandra area,0.70
electricity,high,Street Light Not Working reported in Bagalagunte,0.74
waste_management,low,obstructions Branches / Trees. problem in Marathalli ward,0.38
electricity,medium,Street Light Not Working issue in Begur area,0.68
electricity,high,Street Light Not Working problem in Hemmigepura ward,0.74
waste_management,low,Sweeping not done issue in Bagalagunte area,0.36
waste_management,medium,Sweeping not done issue in Jnanabharathi Ward area,0.43
waste_management,medium,Garbage dump issue in Hosakerehalli area,0.52
waste_management,medium,Garbage vehicle not arrived problem in Jayangar ward,0.45
waste_management,medium,Complaint regarding Potholes at Jnanabharathi Ward,0.42
electricity,high,Complaint regarding Street Light Not Working at Kumaraswamy Layout,0.73
electricity,medium,Street Light Not Working problem in Dodda Bidarkallu ward,0.65
traffic,medium,TEC problem in Padmanabha Nagar ward,0.52
electricity,medium,Street Light Not Working issue in Hoysala Nagar area,0.67
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Bagalagunte,0.42
electricity,medium,Requirement For New Street Lights issue in Kuvempu Nagar area,0.58
waste_management,medium,Complaint regarding Road side drains at H.M.T,0.52
waste_management,medium,Other Khata / ekhata issues reported in Varthur,0.44
electricity,high,Complaint regarding Street Light Not Working at BTM Layout,0.74
waste_management,medium,Garbage dump reported in Jayangar,0.65
waste_management,low,Water related issue reported in Varthur,0.37
waste_management,medium,Animal birth control/neutering of stray dogs issue in Horamavu area,0.41
waste_management,medium,Issue with Garbage dump in Jeevanbhima Nagar,0.51
electricity,medium,Street Light Not Working issue in Vidyaranyapura area,0.68
waste_management,medium,Garbage vehicle not arrived issue in Shivaji Nagar area,0.43
waste_management,low,Burning of Garbage in Open Space issue in Peenya Industrial Area area,0.35
electricity,medium,Complaint regarding Street Light Not Working at Byatarayanapura,0.67
electricity,medium,Street Light Not Working issue in Horamavu area,0.67
waste_management,medium,Garbage vehicle not arrived reported in Kadugondanahalli,0.43
waste_management,medium,Garbage dump problem in Kumaraswamy Layout ward,0.50
waste_management,medium,Infrastructure related Issues. issue in C.V.Raman Nagar area,0.44
waste_management,low,Issue with Garbage transfer not as per norms & area not kept clean in Katriguppe,0.37
waste_management,low,Issue with Other Khata / ekhata issues in Sri Rammandira,0.38
waste_management,low,Other Khata / ekhata issues reported in Sri Rammandira,0.40
waste_management,low,Issue with Sweeping not done in Jakkur,0.39
waste_management,medium,Road side drains reported in Arakere,0.40
waste_management,low,Issue with Garbage vehicle not arrived in Kumaraswamy Layout,0.35
waste_management,low,Sweeping not done reported in Horamavu,0.35
electricity,medium,Street Light Not Working reported in Ramamurthy Nagar,0.69
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Jayangar,0.44
waste_management,low,Issue with Stray dog related complaints in Mangammanapalya,0.39
waste_management,medium,Complaint regarding Garbage dump at Hombegowda Nagar,0.54
waste_management,low,Garbage nuisance while transporting issue in Jeevanbhima Nagar area,0.35
waste_management,medium,Complaint regarding Debris Removal / Construction Material at Deepanjali Nagar,0.47
waste_management,medium,Removal of dead/fallen trees reported in Benniganahalli,0.41
waste_management,medium,Issue with Animal Rescue - Not well - Requires attention in Basavanapura,0.45
waste_management,low,Issue with ekhata approval pending with ARO in HSR Layout,0.38
waste_management,low,Garbage vehicle not arrived problem in Thanisandra ward,0.40
waste_management,medium,Complaint regarding Road side drains at Mallasandra,0.50
electricity,high,Issue with Street Light Not Working in Shanthi Nagar,0.71
electricity,high,Street Light Not Working issue in Kempegowda Ward area,0.74
waste_management,medium,Sweeping not done reported in Shankaramata,0.43
waste_management,low,Road side drains problem in Devasandra ward,0.38
waste_management,low,Garbage vehicle not arrived issue in Kuvempu Nagar area,0.35
waste_management,medium,Issue with Sweeping not done in Hemmigepura,0.41
waste_management,low,Complaint regarding Stray dog related complaints at Govindraja Nagara,0.37
waste_management,low,Complaint regarding Flex and banners at Ganeshmandira Ward,0.38
waste_management,low,Issue with Garbage vehicle not arrived in Thanisandra,0.38
waste_management,medium,Issue with Garbage dumping in vacant sites in Begur,0.53
electricity,high,Issue with Street Light Not Working in Singasandra,0.73
waste_management,medium,Garbage dump issue in Gottigere area,0.50
waste_management,medium,Garbage dump issue in Gottigere area,0.47
waste_management,medium,Complaint regarding Garbage dump at Gottigere,0.46
waste_management,low,Sweeping not done problem in Jnanabharathi Ward ward,0.36
waste_management,low,Issue with Spraying in Chamrajpet,0.37
waste_management,medium,Road cutting issue in H.M.T area,0.52
waste_management,low,Garbage vehicle not arrived problem in Thanisandra ward,0.39
waste_management,medium,Garbage dump issue in Arakere area,0.53
waste_management,low,Garbage vehicle not arrived issue in Puttenahalli area,0.38
electricity,high,Complaint regarding Street Light Not Working at Rajarajeshwari Nagar,0.74
electricity,high,Street Light Not Working problem in Jagajeevanram Nagar ward,0.74
electricity,high,Street Light Not Working problem in Bapuji Nagar ward,0.73
electricity,medium,Street Light Not Working reported in Kempapura Agrahara,0.65
electricity,high,Complaint regarding Street Light Not Working at HSR Layout,0.74
waste_management,medium,Complaint regarding Ekhata missing in online at Doddanekkundi,0.43
electricity,high,Issue with Street Light Not Working in Vidyaranyapura,0.71
electricity,medium,Issue with Street Light Not Working in Begur,0.70
waste_management,low,Sweeping not done issue in Kottigepalya area,0.36
electricity,high,Issue with Street Light Not Working in Shankaramata,0.73
electricity,high,Complaint regarding Street Light Not Working at Rajarajeshwari Nagar,0.73
electricity,high,Street Light Not Working problem in Jakkur ward,0.73
electricity,high,Street Light Not Working problem in Puttenahalli ward,0.74
electricity,high,Street Light Not Working reported in Mangammanapalya,0.71
waste_management,medium,Anti Rabies Vaccination of stray dogs reported in Newthippasandra,0.45
waste_management,medium,Garbage dump issue in Gottigere area,0.54
waste_management,medium,Garbage dump reported in Gottigere,0.48
waste_management,low,Burning of Garbage in Open Space reported in Ramamurthy Nagar,0.39
waste_management,medium,Garbage dump issue in Gottigere area,0.47
electricity,high,Street Light Not Working reported in Begur,0.73
electricity,high,Street Light Not Working reported in BTM Layout,0.70
electricity,medium,Street Light Not Working issue in BTM Layout area,0.68
waste_management,medium,Garbage dump issue in Gottigere area,0.47
waste_management,medium,Others issue in Kavalbyrasandra area,0.47
electricity,high,Street Light Not Working problem in Adugodi ward,0.74
waste_management,low,Discrepancy In Khata Certificate and Khata Extract problem in Jnanabharathi Ward ward,0.37
electricity,high,Complaint regarding Street Light Not Working at Rajarajeshwari Nagar,0.75
waste_management,low,Issue with Request for New feeder Points in Nagapura,0.38
waste_management,medium,Garbage dump issue in Gottigere area,0.48
electricity,medium,Street Light Not Working problem in Thanisandra ward,0.67
waste_management,medium,Garbage dump problem in Gottigere ward,0.52
waste_management,medium,Garbage dump problem in Gottigere ward,0.47
electricity,medium,Complaint regarding Street Light Not Working at Thanisandra,0.66
electricity,medium,Street Light Not Working issue in Dodda Bidarkallu area,0.68
waste_management,low,Footpath issue in Marathalli area,0.37
electricity,high,Issue with Street Light Not Working in Bommanahalli,0.73
waste_management,medium,Garbage dump reported in Doddanekkundi,0.48
waste_management,medium,Issue with UnAuthorised Building Constructions in Sri Rammandira,0.51
waste_management,medium,footpath encroachment problem in Horamavu ward,0.40
electricity,medium,Issue with Street Light Not Working in Jayachamarajendra Nagar,0.67
waste_management,medium,Stray cattle related complaints problem in Ramamurthy Nagar ward,0.41
waste_management,medium,Issue with Road side drains in A.Narayanapura,0.42
waste_management,medium,Khata Services (Registration problem in  Bifurcation and Amalgamation) ward,0.53
electricity,high,Street Light Not Working reported in Ullalu,0.73
waste_management,low,Complaint regarding Potholes at Kengeri,0.37
waste_management,medium,Complaint regarding ekhata approval pending with ARO at Horamavu,0.44
waste_management,medium,Animal Rescue - Not well - Requires attention issue in H.M.T area,0.43
waste_management,low,Road side drains issue in Dodda Bidarkallu area,0.37
waste_management,medium,Potholes reported in Basavanapura,0.53
waste_management,medium,Issue with Sweeping not done in Jogupalya,0.43
waste_management,medium,Garbage dump problem in Padmanabha Nagar ward,0.48
electricity,medium,Issue with Street Light Not Working in HBR Layout,0.67
waste_management,medium,Issue with Road Infrastructure in Sampangiram Nagar,0.50
waste_management,low,Garbage vehicle not arrived reported in Katriguppe,0.39
waste_management,medium,Garbage vehicle not arrived reported in Banaswadi,0.41
electricity,medium,Street Light Not Working reported in Arakere,0.65
waste_management,low,Others (JC) reported in Hoodi,0.38
waste_management,medium,water leakage on road problem in Basavanagudi ward,0.63
waste_management,medium,UnAuthorised Constructions issue in Basavanapura area,0.46
waste_management,low,Water related issue problem in Jakkur ward,0.36
waste_management,medium,Issue with Road Infrastructure in Shanthala Nagar,0.43
waste_management,medium,ekhata approval pending with ARO issue in Nagapura area,0.44
waste_management,medium,Garbage vehicle not arrived problem in Jnanabharathi Ward ward,0.43
waste_management,low,Complaint regarding obstructions Branches / Trees. at Benniganahalli,0.36
waste_management,low,Complaint regarding Public dustbins not cleaned at Thanisandra,0.39
electricity,medium,Complaint regarding Street Light Not Working at Gottigere,0.70
electricity,high,Complaint regarding Street Light Not Working at Jakkur,0.74
waste_management,medium,Garbage dumping in vacant sites issue in Marathalli area,0.49
waste_management,low,Garbage vehicle not arrived reported in Ullalu,0.37
waste_management,medium,Issue with Sweeping not done in Jakkur,0.41
waste_management,medium,Sweeping not done reported in Hegganahalli,0.41
waste_management,low,Others (JC) reported in K.R.Puram,0.40
waste_management,low,Lake being encroached issue in HBR Layout area,0.38
waste_management,medium,Debris Removal / Construction Material problem in Radhakrishna Temple ward,0.44
waste_management,medium,Garbage vehicle not arrived issue in Manorayanapalya area,0.41
